"","teamname","minutesplayed","team_fgm","team_fga","team_3fg","team_3fga","team_ft","team_fta","team_pts","team_oreb","team_dreb","team_ast","team_to","team_stl","team_blk","team_fls","opp_fgm","opp_fga","opp_3fg","opp_3fga","opp_ft","opp_fta","opp_pts","opp_oreb","opp_dreb","opp_ast","opp_to","opp_stl","opp_blk","opp_fls"
"1","A&M-Corpus Chris",5050,676,1423,131,389,412,576,1895,264,593,329,347,230,103,498,628,1421,203,578,384,551,1843,293,584,349,401,192,69,530
"2","Abilene Christian",5101,617,1331,177,468,323,492,1734,192,593,347,357,185,76,542,606,1349,176,510,378,573,1766,264,617,336,379,148,79,442
"3","Air Force",5477,692,1558,220,589,422,589,2026,266,701,415,322,159,50,498,705,1548,258,716,364,521,2032,231,692,415,330,160,100,566
"4","Akron",5400,721,1523,284,751,386,568,2112,268,681,403,309,137,83,490,688,1549,186,499,342,501,1904,255,613,304,303,150,47,514
"5","Alabama",5300,625,1466,178,557,393,614,1821,328,703,300,368,170,108,513,579,1425,174,500,380,567,1712,253,621,264,374,172,76,533
"6","Alabama A&M",4876,518,1323,99,392,324,498,1463,246,514,265,312,92,42,435,686,1429,180,486,331,487,1883,295,621,354,242,168,96,436
"7","Alabama St.",5101,575,1486,165,571,323,514,1638,340,621,247,400,136,78,496,640,1462,154,461,395,592,1829,296,669,314,345,189,72,468
"8","Albany (NY)",5801,761,1635,148,414,425,563,2095,331,725,360,339,156,43,511,680,1551,240,688,335,474,1935,212,620,382,344,165,121,536
"9","Alcorn",4999,619,1445,178,531,321,478,1737,287,665,338,360,166,90,483,603,1435,140,452,371,574,1717,296,634,319,331,170,59,439
"10","American",5225,600,1343,141,462,254,412,1595,177,573,287,345,176,62,485,618,1307,146,395,404,568,1786,210,646,315,346,173,70,427
"11","Appalachian St.",5025,631,1485,217,612,396,582,1875,286,655,353,347,136,82,538,653,1441,160,428,428,616,1894,245,668,330,323,143,99,538
"12","Arizona",5600,723,1540,183,465,468,613,2097,297,738,391,329,160,87,460,661,1600,178,576,278,427,1778,272,567,353,346,134,81,550
"13","Arizona St.",5600,762,1743,273,760,423,570,2220,264,659,357,297,172,92,482,827,1725,263,714,368,519,2285,307,795,529,392,146,109,526
"14","Ark.-Pine Bluff",5724,617,1530,178,542,324,494,1736,298,598,298,501,241,77,624,637,1425,185,588,560,793,2019,313,695,388,471,264,83,453
"15","Arkansas",5400,751,1620,187,491,495,656,2184,312,672,395,324,200,132,572,677,1600,201,597,455,659,2010,337,626,351,355,139,82,535
"16","Arkansas St.",5400,706,1499,192,489,392,613,1996,277,687,351,358,150,73,554,638,1476,156,515,413,600,1845,252,640,352,360,157,104,550
"17","Army West Point",5675,738,1680,258,730,312,476,2046,286,766,454,415,159,53,560,734,1656,183,561,408,586,2059,248,746,375,364,196,110,482
"18","Auburn",5425,722,1670,233,656,480,711,2157,313,670,353,373,207,137,577,735,1670,221,632,458,651,2149,348,725,373,425,165,82,621
"19","Austin Peay",5675,750,1605,204,591,467,664,2171,232,619,305,350,163,66,513,865,1736,254,664,376,518,2360,324,713,444,387,154,80,585
"20","BYU",5799,805,1755,186,549,541,746,2337,295,929,465,393,195,145,558,757,1877,232,732,361,564,2109,305,762,411,355,195,85,625
"21","Ball St.",5500,756,1611,242,640,404,555,2158,286,748,435,418,169,95,535,693,1665,211,605,437,611,2034,306,646,324,359,210,95,529
"22","Baylor",5401,715,1502,183,509,375,518,1988,329,685,432,359,142,132,476,598,1524,169,542,320,452,1685,289,516,352,313,144,91,501
"23","Belmont",5024,679,1420,253,735,333,433,1944,201,673,411,324,111,63,448,626,1461,151,480,362,486,1765,223,589,280,288,143,75,454
"24","Bethune-Cookman",5375,700,1685,174,559,292,459,1866,335,593,366,331,208,73,527,731,1520,187,545,412,612,2061,308,736,436,394,154,97,434
"25","Binghamton",5826,702,1583,234,632,337,478,1975,216,721,382,364,147,74,482,748,1649,222,613,334,498,2052,270,739,410,339,165,91,484
"26","Boise St.",5000,627,1416,192,571,434,614,1880,261,658,300,317,123,56,516,595,1414,131,409,424,575,1745,226,617,279,303,146,110,531
"27","Boston College",5401,709,1573,212,564,331,491,1961,248,713,410,403,145,76,500,707,1552,181,536,462,614,2057,225,706,414,338,212,108,459
"28","Boston U.",5625,718,1610,239,673,379,541,2054,290,712,403,398,232,71,532,672,1578,239,663,389,576,1972,289,693,383,408,189,89,484
"29","Bowling Green",5475,711,1671,198,561,402,607,2022,308,658,341,349,189,68,542,751,1590,193,547,408,563,2103,264,759,356,409,163,99,569
"30","Bradley",5825,633,1510,197,542,418,632,1881,257,753,328,442,178,106,585,688,1639,219,640,456,640,2051,318,746,411,375,228,95,574
"31","Brown",5199,635,1430,212,566,489,647,1971,232,565,354,380,202,49,509,727,1458,198,536,374,517,2026,246,644,387,420,181,120,577
"32","Bryant",5975,751,1715,209,613,427,594,2138,306,731,408,401,197,64,625,767,1717,209,645,489,665,2232,322,744,391,370,182,106,545
"33","Bucknell",5600,734,1534,219,585,411,604,2098,241,702,385,375,203,100,502,695,1589,188,522,330,500,1908,266,654,351,393,199,83,547
"34","Buffalo",5425,749,1655,206,622,402,593,2106,339,764,408,393,151,110,610,669,1624,199,577,457,666,1994,304,662,355,351,167,86,530
"35","Butler",5450,728,1524,209,563,417,568,2082,239,646,355,273,161,74,514,640,1454,183,545,380,545,1843,233,611,275,363,133,79,531
"36","CSU Bakersfield",5225,689,1521,166,476,330,532,1874,337,673,392,390,220,93,571,517,1359,182,556,419,608,1635,270,598,293,443,149,82,508
"37","CSUN",5000,671,1449,124,337,494,691,1960,252,655,360,340,169,83,532,704,1562,169,456,441,621,2018,295,625,351,316,151,84,557
"38","Cal Poly",5225,611,1503,211,622,312,453,1745,250,569,274,269,140,85,481,670,1402,161,405,400,554,1901,246,709,332,316,119,77,464
"39","Cal St. Fullerton",5125,646,1418,159,485,414,617,1865,264,669,317,398,162,99,542,607,1432,178,504,424,584,1816,235,608,306,361,154,82,519
"40","California",5300,642,1478,180,523,345,535,1809,306,728,331,335,124,132,492,577,1479,145,467,330,484,1629,242,604,294,288,123,94,488
"41","Campbell",5648,687,1502,219,584,428,574,2021,222,691,335,376,188,105,521,694,1554,176,518,443,627,2007,270,678,360,346,201,64,496
"42","Canisius",5850,817,1774,277,718,425,579,2336,309,647,522,386,199,57,573,831,1715,205,580,433,581,2300,321,721,404,452,164,100,566
"43","Central Ark.",5648,729,1657,198,529,432,587,2088,281,719,416,405,159,75,519,824,1787,313,799,380,556,2341,338,719,518,323,195,86,498
"44","Central Conn. St.",5450,619,1487,132,386,318,515,1688,316,582,315,383,156,62,501,697,1481,217,563,357,522,1968,284,673,385,369,165,106,508
"45","Central Mich.",5226,749,1738,334,908,495,627,2327,307,726,311,300,149,74,491,802,1798,215,657,390,548,2209,351,738,357,337,158,84,546
"46","Charleston So.",5473,717,1630,209,613,346,524,1989,292,659,307,320,153,83,536,678,1481,202,556,455,613,2013,225,719,376,345,141,97,465
"47","Charlotte",5025,667,1513,195,528,378,496,1907,194,619,297,314,157,77,476,731,1569,171,469,381,531,2014,298,715,335,351,163,82,471
"48","Chattanooga",5200,685,1429,192,543,436,601,1998,267,578,310,344,213,128,479,626,1433,141,425,374,495,1767,291,576,305,396,154,83,522
"49","Chicago St.",5700,658,1695,190,603,340,489,1846,296,687,328,379,186,61,535,767,1643,264,729,408,573,2206,292,826,505,382,163,102,504
"50","Cincinnati",5450,756,1612,206,581,329,503,2047,324,680,458,285,209,154,423,564,1503,193,557,323,437,1644,296,597,298,384,99,78,457
"51","Clemson",5225,687,1519,195,549,379,533,1948,280,597,338,281,197,111,401,691,1531,202,569,274,357,1858,292,632,345,372,137,84,494
"52","Cleveland St.",5699,666,1633,194,634,336,492,1862,297,621,290,381,202,85,574,691,1526,190,546,420,620,1992,299,738,413,438,143,91,507
"53","Coastal Caro.",5425,698,1657,234,699,313,465,1943,336,758,323,362,141,67,470,672,1611,258,750,357,507,1959,262,709,359,303,160,94,469
"54","Col. of Charleston",5825,660,1541,182,548,479,651,1981,244,734,300,301,166,97,494,670,1600,183,605,325,488,1848,295,736,324,373,101,101,561
"55","Colgate",5925,672,1543,245,674,346,510,1935,241,711,374,427,152,81,549,699,1571,223,611,415,603,2036,244,718,377,347,215,89,509
"56","Colorado",5650,734,1640,200,573,449,643,2117,336,727,389,357,144,120,516,707,1660,228,642,375,519,2017,289,677,344,347,168,113,606
"57","Colorado St.",5401,654,1531,185,523,477,650,1970,317,728,304,316,163,100,485,637,1593,196,635,353,519,1823,308,654,306,325,160,87,564
"58","Columbia",4650,605,1366,182,494,294,414,1686,230,585,363,299,165,67,439,575,1325,209,587,311,463,1670,256,590,350,336,128,86,423
"59","Coppin St.",5650,611,1612,194,611,398,615,1814,319,642,293,374,154,57,556,769,1627,227,645,434,613,2199,322,811,408,372,165,98,561
"60","Cornell",5025,648,1444,211,633,286,411,1793,188,663,375,354,129,68,468,691,1531,177,507,367,500,1926,243,667,338,279,183,92,421
"61","Creighton",5400,865,1658,243,590,320,471,2293,220,725,479,324,172,90,432,725,1686,197,601,308,454,1955,317,659,342,381,170,80,484
"62","Dartmouth",4625,533,1241,168,483,293,414,1527,211,575,260,341,108,39,423,616,1329,162,465,288,414,1682,212,558,282,261,157,112,433
"63","Davidson",5000,633,1469,226,671,359,478,1851,239,687,390,298,138,81,458,616,1477,186,502,341,481,1759,261,669,319,299,167,88,465
"64","Dayton",5200,670,1425,207,544,424,610,1971,223,669,409,313,208,108,477,577,1425,178,556,346,488,1678,250,632,322,397,114,89,514
"65","DePaul",5225,629,1487,151,464,392,524,1801,285,585,305,361,177,78,504,651,1411,215,577,415,566,1932,247,654,404,371,162,92,513
"66","Delaware",5825,671,1609,172,564,356,519,1870,284,744,336,356,160,90,537,713,1612,242,680,387,592,2055,270,745,428,298,171,105,491
"67","Delaware St.",5676,689,1633,239,657,323,492,1940,299,615,378,388,163,76,540,731,1609,240,684,442,614,2144,352,737,449,411,187,91,479
"68","Denver",5450,729,1513,204,513,391,528,2059,244,719,414,362,133,56,544,666,1523,204,587,448,607,1984,231,604,305,294,180,95,524
"69","Detroit Mercy",5475,731,1646,220,598,392,610,2074,283,623,344,391,172,64,649,779,1562,219,574,522,750,2299,282,744,401,395,177,107,547
"70","Drake",5675,695,1688,245,703,376,496,2011,283,697,364,353,171,68,510,785,1703,242,648,349,514,2161,305,760,394,349,192,120,472
"71","Drexel",5901,795,1820,232,670,374,559,2196,352,730,430,386,173,89,573,803,1740,228,636,444,647,2278,307,764,417,370,188,106,549
"72","Duke",5400,759,1566,232,604,462,612,2212,279,712,377,312,158,120,496,690,1599,138,461,332,488,1850,274,606,318,343,126,66,548
"73","Duquesne",5400,682,1585,197,580,373,549,1934,302,705,352,387,137,103,504,717,1641,211,576,383,540,2028,302,709,437,341,159,129,513
"74","ETSU",5650,784,1590,220,577,469,688,2257,302,744,427,428,238,126,565,648,1553,220,623,425,597,1941,260,624,310,453,192,98,594
"75","East Carolina",5401,580,1473,159,531,353,546,1672,313,731,335,380,139,146,448,623,1620,169,542,301,421,1716,331,684,330,305,180,86,501
"76","Eastern Ill.",5775,755,1802,256,682,344,471,2110,340,709,433,354,193,116,540,689,1603,190,536,437,620,2005,315,768,361,448,163,88,507
"77","Eastern Ky.",5925,702,1653,221,694,429,608,2054,278,685,395,412,167,104,584,736,1646,210,595,512,704,2194,318,757,407,399,216,97,560
"78","Eastern Mich.",5451,758,1680,161,485,434,593,2111,348,637,366,341,273,123,576,630,1497,207,605,506,703,1973,329,649,423,461,186,66,524
"79","Eastern Wash.",5650,754,1578,221,574,401,533,2130,253,702,348,336,134,139,537,713,1625,217,596,408,564,2051,286,642,375,298,171,77,528
"80","Elon",5700,748,1665,262,740,329,476,2087,253,792,409,343,147,69,470,732,1734,213,658,324,459,2001,292,745,308,312,171,89,505
"81","Evansville",5676,675,1487,106,292,460,642,1916,250,702,375,334,152,77,556,623,1499,198,606,409,586,1853,268,669,334,378,147,122,572
"82","FGCU",5850,858,1700,186,520,401,573,2303,316,759,452,371,179,97,543,712,1677,204,658,392,572,2020,304,613,346,383,181,84,519
"83","FIU",5552,700,1553,154,471,346,465,1900,281,655,299,366,162,58,509,704,1519,192,537,397,552,1997,245,631,364,317,182,109,437
"84","Fairfield",5050,680,1510,218,626,287,420,1865,216,694,383,347,143,78,465,676,1549,157,487,335,502,1844,274,688,298,323,170,66,443
"85","Fla. Atlantic",5075,640,1538,182,549,326,466,1788,271,636,309,291,140,83,476,663,1493,161,441,347,509,1834,284,697,281,326,147,68,433
"86","Florida",5426,722,1593,208,575,495,681,2147,324,692,350,321,213,137,498,639,1570,148,490,352,511,1778,298,651,257,420,148,84,584
"87","Florida A&M",5275,667,1567,172,485,377,574,1883,259,648,334,352,177,89,494,730,1604,233,648,370,553,2063,333,757,368,364,180,71,515
"88","Florida St.",5400,812,1663,193,528,441,648,2258,315,701,403,323,206,146,528,657,1607,190,569,425,600,1929,324,618,319,397,137,85,548
"89","Fordham",5474,630,1524,219,669,302,413,1781,230,555,360,349,272,75,520,619,1337,191,519,401,565,1830,247,724,412,485,176,101,446
"90","Fort Wayne",5675,909,1826,303,743,340,461,2461,292,766,487,376,224,110,498,752,1713,278,726,403,536,2185,241,674,411,408,168,75,464
"91","Fresno St.",5550,705,1535,169,485,442,661,2021,265,715,347,369,232,106,579,626,1508,192,584,481,658,1925,265,678,340,401,165,80,571
"92","Furman",5825,765,1594,260,666,369,537,2159,256,751,440,380,208,69,499,661,1595,199,645,371,527,1892,269,669,344,402,165,63,518
"93","Ga. Southern",5425,712,1593,250,686,435,651,2109,275,697,290,312,190,88,534,698,1632,217,671,374,561,1987,337,732,352,372,134,89,534
"94","Gardner-Webb",5875,799,1643,172,466,439,706,2209,311,763,428,414,260,100,582,691,1639,212,600,428,634,2022,293,684,402,445,189,102,583
"95","George Mason",5500,710,1557,152,432,480,645,2052,310,784,321,345,145,75,459,695,1661,206,632,326,463,1922,260,627,365,287,162,104,532
"96","George Washington",5400,607,1487,217,591,432,578,1863,331,690,352,361,134,105,431,691,1575,178,487,325,434,1885,249,627,388,279,191,94,506
"97","Georgetown",5450,692,1498,182,511,471,643,2037,263,710,419,372,153,129,565,672,1601,169,525,426,615,1939,309,632,342,345,177,86,570
"98","Georgia",5452,674,1508,139,428,472,632,1959,266,748,370,373,151,111,522,653,1606,193,575,390,566,1889,289,640,311,330,180,86,562
"99","Georgia St.",5225,713,1494,196,542,330,511,1952,262,648,324,376,205,112,533,597,1463,226,685,412,567,1832,281,593,355,398,167,73,481
"100","Georgia Tech",5425,661,1512,125,360,387,562,1834,275,715,423,379,172,169,452,644,1633,191,583,320,466,1799,323,652,344,350,187,115,494
"101","Gonzaga",5600,855,1665,213,559,468,629,2391,273,857,464,317,205,130,471,634,1715,157,533,302,459,1727,309,621,277,363,148,76,553
"102","Grambling",5500,681,1602,155,496,388,601,1905,329,585,291,381,242,61,540,699,1465,204,559,403,597,2005,296,723,392,470,166,97,529
"103","Grand Canyon",5650,715,1637,177,551,451,669,2058,296,747,371,364,212,72,495,693,1635,186,568,343,496,1915,283,740,344,420,185,88,591
"104","Green Bay",5477,762,1706,174,524,467,674,2165,310,782,382,379,213,111,519,742,1725,239,668,340,523,2063,310,743,372,418,167,68,550
"105","Hampton",5050,601,1465,155,496,361,507,1718,301,619,294,357,116,89,506,601,1370,183,505,396,589,1781,234,624,271,359,144,72,465
"106","Hartford",5875,663,1640,243,708,358,526,1927,265,689,332,425,206,109,548,786,1747,225,587,419,610,2216,365,801,460,384,189,107,506
"107","Harvard",4600,564,1274,187,530,331,440,1646,238,585,333,313,151,116,444,513,1257,142,441,331,488,1499,249,541,294,308,156,60,418
"108","Hawaii",5225,603,1426,186,574,390,530,1782,243,591,361,359,125,42,491,620,1393,160,460,365,548,1765,232,628,276,365,180,77,533
"109","High Point",5474,645,1478,176,461,392,539,1858,273,685,348,356,161,77,464,649,1482,215,608,319,465,1832,243,644,344,370,185,100,514
"110","Hofstra",5850,767,1728,260,709,436,643,2230,345,721,384,317,129,81,493,819,1780,222,602,365,502,2225,307,732,425,302,153,86,581
"111","Holy Cross",5600,582,1364,208,609,318,463,1690,161,540,377,311,265,61,445,621,1359,217,633,293,406,1752,255,698,407,453,135,83,487
"112","Houston",5225,706,1539,225,558,314,444,1951,294,629,336,260,139,94,498,563,1398,180,543,362,504,1668,289,610,296,364,122,74,474
"113","Houston Baptist",4999,709,1547,156,462,398,570,1972,339,627,373,355,168,70,499,675,1477,186,529,402,552,1938,240,577,363,344,188,83,495
"114","Howard",5400,573,1446,133,452,427,651,1706,322,651,235,406,141,95,494,679,1565,215,591,382,537,1955,325,678,416,339,196,76,555
"115","IUPUI",5450,751,1667,248,632,361,527,2111,308,640,397,346,174,74,550,728,1550,194,531,474,625,2124,257,692,363,365,154,117,533
"116","Idaho",5125,616,1428,188,528,406,566,1826,277,640,321,323,131,61,542,573,1375,216,603,435,593,1797,234,613,305,318,135,83,505
"117","Idaho St.",5250,622,1423,207,560,355,528,1806,191,577,271,367,192,56,474,731,1528,245,622,356,496,2063,268,693,394,347,181,84,495
"118","Ill.-Chicago",5675,733,1638,212,560,485,678,2163,332,779,412,465,149,142,534,754,1774,186,514,423,580,2117,321,666,392,362,214,110,585
"119","Illinois",5425,708,1564,196,540,359,517,1971,276,680,363,348,138,64,500,689,1570,199,577,345,484,1922,250,646,319,338,145,87,524
"120","Illinois St.",5625,699,1573,226,624,340,510,1964,290,744,388,361,204,128,500,585,1552,202,627,362,512,1734,288,668,317,367,170,69,476
"121","Incarnate Word",5225,660,1456,205,531,466,673,1991,208,653,326,341,152,121,537,736,1607,145,431,470,649,2087,311,708,343,325,177,92,527
"122","Indiana",5525,764,1590,231,617,410,563,2169,337,736,385,408,173,129,533,677,1614,178,544,405,581,1937,290,564,311,308,167,112,531
"123","Indiana St.",5775,692,1654,231,661,351,525,1966,241,766,375,366,186,120,594,689,1651,196,518,474,676,2048,319,831,331,368,160,114,498
"124","Iona",5650,791,1727,277,692,399,519,2258,265,758,444,340,181,84,533,755,1767,229,639,403,573,2142,339,729,416,352,130,81,479
"125","Iowa",5525,757,1696,223,622,421,611,2158,325,727,470,368,199,108,487,768,1757,225,632,334,487,2095,350,717,461,387,204,87,533
"126","Iowa St.",5300,775,1682,251,649,296,431,2097,266,679,413,267,217,86,413,680,1602,197,576,280,406,1837,301,707,348,403,119,90,427
"127","Jackson St.",5427,603,1570,186,611,346,509,1738,357,623,305,335,166,71,551,590,1341,166,493,483,670,1829,229,680,329,375,133,87,480
"128","Jacksonville",6027,798,1702,301,734,441,595,2338,274,704,409,394,245,52,570,794,1680,249,672,412,608,2249,272,715,408,445,175,85,568
"129","Jacksonville St.",5850,714,1564,209,562,394,562,2031,298,741,417,401,135,110,541,683,1618,232,591,408,567,2006,286,650,336,328,171,85,537
"130","James Madison",5877,672,1510,183,555,389,544,1916,269,719,339,420,173,83,590,681,1536,237,667,428,597,2027,229,659,368,346,185,76,533
"131","Kansas",5275,782,1599,230,557,377,582,2171,325,704,425,341,190,119,491,665,1591,196,535,357,513,1883,305,606,332,352,183,96,500
"132","Kansas St.",5425,697,1482,199,533,399,586,1992,265,630,423,355,225,100,479,637,1492,197,496,340,475,1811,297,599,357,428,169,85,523
"133","Kennesaw St.",5800,812,1754,193,460,368,535,2185,323,723,461,398,145,93,554,798,1708,200,541,423,632,2219,289,710,346,358,196,88,525
"134","Kent St.",5500,749,1747,193,600,402,559,2093,430,673,348,380,184,107,531,687,1591,199,574,387,555,1960,303,622,376,404,175,70,529
"135","Kentucky",5425,855,1773,200,561,488,703,2398,356,736,449,321,174,152,529,710,1650,165,528,392,579,1977,283,669,305,416,131,84,635
"136","LIU Brooklyn",5850,725,1674,169,493,441,645,2060,385,737,311,420,172,100,588,691,1621,196,561,429,604,2007,301,660,352,401,178,113,583
"137","LSU",5000,702,1549,164,474,304,458,1872,296,628,332,372,150,96,489,716,1535,217,574,404,575,2053,288,641,388,313,173,95,445
"138","La Salle",5100,651,1398,219,582,424,546,1945,206,604,366,320,169,56,473,691,1459,216,547,342,482,1940,232,591,370,312,154,71,461
"139","La.-Monroe",5525,673,1575,193,581,266,412,1805,284,677,366,352,124,57,476,665,1543,199,557,354,517,1883,265,681,345,311,160,109,433
"140","Lafayette",5426,641,1506,202,612,310,435,1794,191,679,342,397,135,74,467,723,1590,263,698,343,500,2052,273,747,394,358,207,61,482
"141","Lamar University",5475,736,1601,210,594,412,636,2094,326,651,389,367,223,77,582,678,1483,151,452,416,598,1923,272,667,360,442,160,123,547
"142","Lehigh",5425,715,1481,226,571,373,480,2029,193,730,399,391,174,78,453,677,1566,205,597,323,437,1882,218,621,362,348,181,71,478
"143","Liberty",5874,650,1478,270,739,396,538,1966,148,693,383,307,188,61,567,613,1434,202,603,426,602,1854,230,758,310,407,134,68,525
"144","Lipscomb",5824,812,1734,292,814,540,743,2456,302,775,512,446,188,89,625,771,1742,208,621,512,738,2262,316,716,380,442,201,97,661
"145","Little Rock",5450,674,1514,175,504,368,496,1891,263,638,331,338,160,103,492,646,1433,197,532,379,538,1868,244,641,359,369,136,62,447
"146","Long Beach St.",5901,767,1737,189,539,470,652,2193,331,691,382,422,179,73,589,811,1733,224,595,468,657,2314,328,728,411,408,201,113,596
"147","Longwood",5401,662,1496,176,513,321,442,1821,200,628,294,416,163,113,483,795,1661,225,570,367,525,2182,333,704,385,351,221,68,427
"148","Louisiana",5401,780,1673,194,556,463,676,2217,364,672,393,360,186,77,512,738,1566,190,529,391,554,2057,237,629,333,410,166,92,561
"149","Louisiana Tech",5617,767,1637,213,594,405,574,2152,267,767,466,340,192,154,436,683,1651,178,546,289,432,1833,268,695,388,395,160,86,493
"150","Louisville",5450,751,1662,196,537,403,582,2101,369,711,369,293,187,153,519,590,1499,158,523,394,582,1732,285,632,289,386,129,92,513
"151","Loyola Chicago",5900,778,1582,235,596,357,507,2148,190,703,432,340,197,68,496,692,1555,190,527,371,515,1945,246,697,332,424,152,92,520
"152","Loyola Maryland",5225,591,1392,137,415,413,601,1732,300,571,302,393,189,92,505,651,1405,152,462,344,482,1798,250,595,349,375,184,110,537
"153","Loyola Marymount",5425,713,1586,197,546,289,472,1912,298,620,410,356,201,102,545,651,1439,178,507,439,614,1919,263,670,392,402,168,95,492
"154","Maine",5797,685,1689,192,612,338,509,1900,301,721,346,381,152,53,526,768,1673,215,591,418,576,2169,280,798,403,348,191,105,469
"155","Manhattan",5923,685,1658,191,587,497,687,2058,339,705,319,489,201,98,723,719,1602,204,516,609,854,2251,300,721,435,428,190,122,625
"156","Marist",5848,671,1576,224,669,433,604,1999,205,697,327,373,131,76,572,798,1725,225,593,478,647,2299,329,786,428,313,185,93,560
"157","Marquette",5225,745,1547,263,632,381,489,2134,244,632,430,313,194,93,499,687,1507,193,515,365,532,1932,258,611,409,346,165,95,441
"158","Marshall",5475,793,1732,276,737,465,638,2327,250,738,441,332,173,104,506,850,1838,195,563,379,583,2274,370,783,410,373,153,96,561
"159","Maryland",5425,672,1495,225,608,454,647,2023,290,694,376,360,149,131,509,638,1576,160,504,371,525,1807,317,635,294,349,171,97,552
"160","Massachusetts",5400,699,1598,198,662,374,568,1970,266,709,440,406,216,143,614,633,1561,166,498,515,745,1947,313,714,358,397,190,82,506
"161","McNeese",5025,606,1476,169,512,356,528,1737,252,592,261,337,138,78,484,684,1520,167,474,426,594,1961,332,712,374,341,157,89,496
"162","Memphis",5450,722,1625,157,520,413,609,2014,320,690,435,314,196,136,445,649,1584,195,604,353,515,1846,301,675,347,385,156,111,517
"163","Mercer",5676,697,1553,218,619,371,484,1985,321,713,384,339,117,53,482,638,1551,241,709,389,520,1906,279,595,372,294,165,91,512
"164","Miami (FL)",5200,675,1453,171,462,357,500,1878,306,658,320,337,170,107,404,603,1456,166,501,301,405,1673,252,558,305,317,161,82,453
"165","Miami (OH)",5451,671,1545,176,557,420,606,1938,266,683,315,399,196,111,552,669,1571,238,672,450,612,2026,313,722,339,407,221,99,556
"166","Michigan",5450,700,1473,252,658,354,455,2006,209,583,370,254,154,73,422,664,1425,163,418,287,417,1778,236,609,300,351,112,71,474
"167","Michigan St.",5425,699,1468,216,563,315,493,1929,243,729,473,400,127,132,551,640,1571,180,517,400,548,1860,280,615,358,310,164,83,515
"168","Middle Tenn.",5625,787,1618,179,490,318,465,2071,280,708,430,297,198,81,503,609,1453,175,538,372,532,1765,231,625,296,382,140,70,457
"169","Milwaukee",5750,695,1579,225,633,267,412,1882,233,661,382,341,127,39,517,732,1549,216,614,352,506,2032,223,720,395,322,165,104,451
"170","Minnesota",5550,699,1624,173,496,466,663,2037,310,772,415,321,160,179,458,670,1689,169,559,344,501,1853,323,722,354,360,156,99,569
"171","Mississippi St.",5201,667,1484,207,579,370,542,1911,246,667,315,339,188,105,511,655,1514,162,504,379,544,1851,288,671,304,361,126,83,475
"172","Mississippi Val.",5452,685,1638,150,431,350,553,1872,318,606,313,381,183,57,527,804,1620,252,641,426,610,2286,312,759,457,376,190,102,511
"173","Missouri",5225,608,1532,163,557,414,609,1793,297,684,314,327,166,55,513,632,1505,194,587,405,595,1863,285,729,324,352,138,119,552
"174","Missouri St.",5725,723,1626,235,640,378,551,2059,327,706,355,339,161,112,504,670,1554,179,541,380,513,1899,230,641,364,335,158,72,529
