"","teamname","minutesplayed","team_fgm","team_fga","team_3fg","team_3fga","team_ft","team_fta","team_pts","team_oreb","team_dreb","team_ast","team_to","team_stl","team_blk","team_fls","opp_fgm","opp_fga","opp_3fg","opp_3fga","opp_ft","opp_fta","opp_pts","opp_oreb","opp_dreb","opp_ast","opp_to","opp_stl","opp_blk","opp_fls"
"175","Monmouth",5675,759,1768,245,665,508,677,2271,338,767,346,352,200,129,590,692,1705,221,661,452,636,2057,317,742,369,417,169,128,582
"176","Montana",5650,730,1630,208,595,404,542,2072,269,686,375,315,156,85,612,701,1530,177,516,460,665,2039,256,701,325,361,150,107,534
"177","Montana St.",5525,728,1673,272,720,442,609,2170,290,686,359,332,154,64,625,686,1510,224,591,555,780,2151,260,740,348,378,157,82,597
"178","Morehead St.",5477,804,1738,201,519,358,487,2167,371,663,443,376,189,82,583,710,1525,237,617,441,640,2098,252,626,381,404,145,99,474
"179","Morgan St.",5050,575,1509,137,467,394,562,1681,350,611,278,350,140,88,502,638,1441,136,483,384,580,1796,296,668,356,362,179,97,491
"180","Mt. St. Mary's",5826,702,1592,214,594,348,510,1966,220,644,328,383,180,123,521,745,1655,161,456,357,533,2008,355,745,336,424,183,83,535
"181","Murray St.",5700,775,1720,245,670,472,639,2267,324,719,396,338,172,61,563,744,1673,217,610,447,629,2152,304,717,357,371,161,87,549
"182","N.C. A&T",5225,574,1363,158,478,308,455,1614,285,592,266,390,124,55,494,656,1468,230,596,382,541,1924,299,583,426,264,159,106,427
"183","N.C. Central",5000,671,1450,195,555,341,495,1878,267,676,346,312,152,84,464,577,1465,163,527,274,445,1591,308,593,276,357,114,71,451
"184","NJIT",5826,729,1727,240,727,401,567,2099,329,733,364,410,196,79,562,742,1649,236,637,416,589,2136,243,739,397,400,184,84,553
"185","Navy",5625,659,1501,192,586,334,520,1844,350,627,390,409,197,53,510,619,1369,203,560,346,503,1787,217,608,360,431,208,80,521
"186","Nebraska",5275,673,1587,154,472,342,483,1842,342,664,303,342,181,106,479,660,1518,197,501,329,477,1846,280,659,324,360,150,115,481
"187","Nevada",5425,711,1598,247,636,459,666,2128,306,739,438,316,148,125,453,715,1671,171,578,325,470,1926,277,688,364,312,159,68,570
"188","New Hampshire",5450,656,1497,223,627,373,510,1908,267,761,341,342,108,51,430,653,1538,182,551,282,451,1770,207,656,307,284,167,77,488
"189","New Mexico",5425,691,1473,128,382,522,689,2032,241,681,375,360,170,97,534,673,1541,229,612,404,582,1979,275,623,393,376,205,86,575
"190","New Mexico St.",5425,731,1564,201,586,462,640,2125,348,721,405,376,124,104,501,652,1574,150,514,374,553,1828,307,585,288,372,145,54,574
"191","New Orleans",5075,651,1388,117,343,407,566,1826,305,599,406,434,199,80,433,627,1417,162,515,329,487,1745,278,522,320,413,216,80,537
"192","Niagara",5874,755,1777,226,586,454,604,2190,323,772,378,382,144,145,538,823,1864,230,633,422,578,2298,352,773,453,331,173,118,563
"193","Nicholls St.",5475,675,1585,245,707,428,589,2023,263,619,374,390,205,156,525,778,1643,226,564,382,563,2164,347,741,446,419,172,101,538
"194","Norfolk St.",5225,632,1473,177,516,375,544,1816,250,698,285,377,127,139,538,632,1523,202,612,415,635,1881,289,655,366,317,145,93,491
"195","North Carolina",5625,888,1858,207,558,451,645,2434,444,789,511,341,202,94,494,705,1688,230,674,349,489,1989,256,602,332,398,171,121,557
"196","North Carolina St.",5650,794,1668,199,549,435,623,2222,283,730,421,377,146,122,510,811,1804,239,660,394,542,2255,337,680,401,323,184,75,520
"197","North Dakota",5051,727,1495,181,461,385,540,2020,239,656,378,332,188,78,526,637,1444,172,479,375,551,1821,242,614,284,377,157,59,509
"198","North Dakota St.",5475,697,1506,206,550,413,584,2013,224,714,327,316,168,102,452,665,1581,218,581,344,487,1898,276,666,360,333,156,77,517
"199","North Florida",6000,821,1804,252,737,441,667,2335,380,790,388,481,171,128,572,848,1897,224,623,449,650,2369,365,723,453,367,243,102,585
"200","North Texas",5225,627,1492,159,501,375,573,1788,264,679,289,361,171,85,509,660,1552,197,580,400,538,1917,296,696,347,347,179,88,493
"201","Northeastern",5625,694,1498,240,645,382,569,2010,234,693,378,355,156,100,465,716,1578,207,575,331,480,1970,250,671,372,329,162,96,518
"202","Northern Ariz.",5425,643,1612,203,639,366,537,1855,318,710,364,387,118,54,487,751,1642,213,638,350,512,2065,269,732,391,327,180,96,527
"203","Northern Colo.",5025,613,1427,218,633,306,504,1750,263,663,325,352,122,57,483,651,1447,203,568,346,489,1851,221,690,317,323,149,96,499
"204","Northern Ill.",5550,696,1603,134,435,420,618,1946,342,685,290,368,201,73,519,652,1513,212,621,366,553,1882,271,679,367,423,158,81,564
"205","Northern Ky.",5600,737,1632,237,687,398,604,2109,330,747,394,391,161,80,515,729,1656,174,541,356,512,1988,255,668,327,345,167,126,519
"206","Northwestern",5400,691,1598,205,590,383,505,1970,305,708,433,282,145,156,528,606,1535,167,510,369,557,1748,316,663,321,330,152,103,491
"207","Northwestern St.",5051,642,1468,171,466,429,634,1884,303,610,347,384,176,70,491,703,1488,201,524,374,569,1981,282,638,415,381,173,86,542
"208","Notre Dame",5625,782,1678,270,680,391,479,2225,264,698,463,275,200,114,432,708,1663,195,585,339,462,1950,314,675,373,353,152,118,452
"209","Oakland",5425,725,1622,184,576,469,619,2103,285,773,450,379,218,143,477,683,1705,171,549,351,505,1888,316,681,347,389,174,84,540
"210","Ohio",5001,675,1470,245,617,365,533,1960,223,698,357,316,141,76,450,625,1519,177,545,335,493,1762,279,661,266,337,150,70,506
"211","Ohio St.",5625,726,1578,176,515,398,581,2026,291,761,385,373,147,108,489,686,1670,235,673,320,485,1927,316,675,367,343,137,82,535
"212","Oklahoma",5326,673,1572,170,476,412,573,1928,307,681,289,376,183,123,512,684,1586,225,610,372,537,1965,293,673,348,353,197,120,489
"213","Oklahoma St.",5400,781,1670,240,593,524,678,2326,374,615,396,364,221,85,616,712,1514,172,497,502,702,2098,300,598,352,431,174,116,585
"214","Old Dominion",5250,602,1460,132,418,329,522,1665,350,652,353,303,163,125,478,531,1322,167,488,351,514,1580,228,617,257,342,134,85,489
"215","Ole Miss",5425,687,1614,208,604,528,698,2110,332,719,361,382,187,123,540,697,1640,244,651,426,614,2064,308,678,415,378,176,89,567
"216","Omaha",5025,684,1517,222,572,480,638,2070,254,630,342,356,197,88,479,737,1582,228,600,391,529,2093,290,655,397,375,173,100,531
"217","Oral Roberts",5850,781,1754,207,563,403,533,2172,271,728,408,354,159,82,520,828,1765,267,668,393,557,2316,295,769,460,351,200,90,510
"218","Oregon",5425,758,1581,233,619,383,535,2132,294,714,457,332,174,189,434,634,1608,180,597,288,404,1736,296,576,303,382,142,95,516
"219","Oregon St.",5625,640,1477,175,507,333,504,1788,257,668,333,430,159,111,541,686,1564,214,586,433,620,2019,312,673,382,334,228,83,510
"220","Pacific",5826,687,1718,161,504,398,593,1933,349,751,343,340,125,53,604,700,1573,226,653,443,642,2069,237,792,425,341,143,127,568
"221","Penn",4600,578,1302,193,570,230,359,1579,225,578,332,309,151,86,428,522,1269,179,505,325,447,1548,244,572,290,320,137,67,381
"222","Penn St.",5475,675,1612,191,548,409,549,1950,266,685,373,361,185,142,495,694,1618,190,545,361,509,1939,302,731,344,410,183,105,504
"223","Pepperdine",5600,737,1630,161,432,307,478,1942,262,671,379,368,139,82,481,822,1698,262,629,341,483,2247,270,737,452,306,180,109,503
"224","Pittsburgh",5300,672,1477,212,565,424,581,1980,263,675,396,314,94,90,440,732,1615,214,600,310,432,1988,272,615,397,260,132,94,496
"225","Portland",5675,632,1520,179,497,398,547,1841,239,706,275,375,131,93,507,712,1678,233,662,350,509,2007,323,715,377,316,168,109,552
"226","Portland St.",5200,788,1627,196,565,387,598,2159,266,613,401,297,252,63,469,727,1523,232,628,360,506,2046,256,680,407,413,142,66,493
"227","Prairie View",5453,645,1509,182,535,367,524,1839,228,618,326,377,224,98,585,671,1464,177,517,496,724,2015,317,720,360,407,154,103,459
"228","Presbyterian",5426,606,1450,155,458,294,429,1661,260,619,332,410,132,64,464,689,1516,255,662,379,541,2012,293,657,388,317,227,94,464
"229","Princeton",4600,591,1304,234,605,235,323,1651,181,584,329,241,152,70,375,506,1205,149,451,277,405,1438,182,586,242,304,109,59,366
"230","Providence",5425,662,1482,198,533,368,525,1890,235,645,382,325,181,84,445,666,1509,171,520,285,424,1788,266,677,333,376,168,80,502
"231","Purdue",5225,737,1525,246,596,395,522,2115,267,750,488,347,132,69,411,648,1599,170,514,254,360,1720,232,561,326,310,172,81,506
"232","Quinnipiac",5650,774,1824,203,622,401,591,2152,390,728,411,398,164,100,551,804,1742,221,577,480,663,2309,304,760,453,361,211,98,556
"233","Radford",5500,638,1539,210,605,302,454,1788,346,699,342,418,135,92,472,720,1582,178,498,321,473,1939,257,647,331,287,196,104,427
"234","Rhode Island",5200,681,1515,167,484,387,599,1916,318,645,346,288,178,162,554,565,1368,126,414,465,653,1721,274,634,267,359,146,89,525
"235","Rice",5450,734,1561,251,638,487,672,2206,276,755,371,413,167,104,521,711,1640,163,500,424,607,2009,265,650,344,363,198,78,580
"236","Richmond",5225,688,1498,192,590,354,504,1922,189,652,428,319,174,56,513,646,1500,160,520,431,594,1883,286,699,322,373,162,77,489
"237","Rider",5425,721,1665,143,443,402,601,1987,346,744,362,389,176,100,526,695,1636,196,597,424,583,2010,283,717,367,363,186,97,541
"238","Robert Morris",5825,628,1601,151,498,427,652,1834,329,688,299,443,226,68,587,670,1550,144,489,463,670,1947,312,763,345,481,190,115,607
"239","Rutgers",5626,693,1683,121,412,344,562,1851,420,731,317,384,193,139,501,656,1618,191,594,366,503,1869,306,681,369,374,194,148,531
"240","SFA",5224,616,1380,157,482,420,587,1809,297,594,314,465,188,87,563,599,1322,159,439,410,601,1767,232,559,309,447,188,84,535
"241","SIUE",5650,629,1562,130,452,494,729,1882,327,667,285,414,131,77,604,741,1581,164,503,485,664,2131,268,721,417,364,181,101,614
"242","SMU",5400,700,1519,215,546,356,513,1971,350,719,449,307,166,92,381,566,1466,219,665,232,345,1583,234,537,331,334,140,86,479
"243","Sacramento St.",5100,652,1433,131,418,329,516,1764,243,651,327,291,113,114,459,673,1492,185,480,335,465,1866,239,648,355,261,139,77,476
"244","Sacred Heart",5924,754,1699,188,548,421,598,2117,324,755,421,469,191,76,554,793,1732,227,615,395,565,2208,285,727,365,408,238,119,586
"245","Saint Francis (PA)",5477,747,1613,211,551,340,487,2045,291,691,360,394,184,103,434,742,1693,256,668,283,401,2023,321,661,402,375,176,98,464
"246","Saint Joseph's",5050,621,1475,148,448,385,589,1775,291,638,285,299,120,87,441,638,1469,239,662,325,451,1840,235,660,367,313,137,68,513
"247","Saint Louis",5250,554,1378,187,543,330,499,1625,225,637,338,352,133,71,516,641,1420,194,523,383,556,1859,241,699,412,292,160,102,488
"248","Saint Peter's",5452,614,1443,212,564,351,490,1791,237,670,317,303,191,82,445,599,1421,192,577,284,420,1674,228,666,311,364,133,84,499
"249","Sam Houston St.",5625,754,1695,169,535,430,623,2107,325,738,431,402,208,85,631,639,1521,202,594,519,716,1999,257,707,359,469,183,103,586
"250","Samford",5825,746,1599,221,551,520,692,2233,275,742,461,389,180,59,538,756,1737,228,681,390,552,2130,328,668,470,365,185,102,581
"251","San Diego",5725,605,1473,228,647,409,563,1847,233,717,335,350,106,46,546,702,1558,198,568,370,549,1972,240,710,335,282,136,101,525
"252","San Diego St.",5000,609,1427,187,578,346,487,1751,255,648,282,299,178,122,425,561,1434,172,523,294,424,1588,271,613,287,327,128,90,469
"253","San Francisco",5799,773,1697,269,745,275,442,2090,269,755,382,358,195,81,548,702,1652,181,548,358,529,1943,287,734,323,392,148,114,484
"254","San Jose St.",5026,652,1457,167,491,378,536,1849,235,607,350,332,164,108,489,636,1413,152,453,409,554,1833,223,644,311,364,151,73,492
"255","Santa Clara",5900,686,1576,277,737,286,389,1935,184,698,422,304,153,60,540,667,1511,190,506,350,514,1874,229,750,375,359,111,79,476
"256","Savannah St.",5025,704,1735,341,1032,374,580,2123,298,693,438,379,198,78,502,837,1830,277,801,378,571,2329,392,831,513,399,156,111,504
"257","Seattle U",5125,610,1394,223,649,354,500,1797,200,662,410,361,168,57,468,616,1525,211,643,358,487,1801,287,650,397,346,181,82,497
"258","Seton Hall",5275,694,1549,164,481,374,595,1926,350,707,323,363,180,62,502,643,1501,169,498,394,553,1849,243,636,319,318,183,87,514
"259","Siena",5800,757,1683,143,451,486,683,2143,354,724,389,399,172,119,576,769,1722,184,548,440,619,2162,314,678,374,356,180,110,603
"260","South Ala.",5075,625,1474,175,554,359,538,1786,266,612,328,331,184,83,515,606,1403,167,529,400,563,1779,271,673,320,407,136,76,491
"261","South Carolina",5525,680,1620,187,536,425,618,1972,345,647,349,358,213,110,565,562,1425,138,484,469,667,1731,298,659,253,466,169,95,559
"262","South Carolina St.",5199,650,1520,145,454,305,455,1750,252,537,294,315,123,59,489,741,1525,186,540,409,562,2077,310,686,384,316,116,95,433
"263","South Dakota",5800,773,1743,194,569,491,708,2231,307,775,358,351,193,102,559,745,1728,231,630,396,539,2117,280,765,365,400,152,111,584
"264","South Dakota St.",5875,720,1593,269,742,507,658,2216,258,745,388,379,154,66,475,796,1766,328,866,337,453,2257,294,699,453,338,193,87,608
"265","South Fla.",5225,619,1444,150,423,307,467,1695,282,620,312,418,152,94,504,649,1498,245,625,402,598,1945,327,636,425,346,208,116,456
"266","Southeast Mo. St.",5825,754,1651,231,617,431,586,2170,251,645,395,367,224,56,577,753,1571,225,621,427,609,2158,272,733,418,452,138,83,537
"267","Southeastern La.",5600,694,1546,189,508,405,598,1982,338,684,397,454,185,95,541,660,1540,169,502,411,595,1900,283,622,322,426,174,111,588
"268","Southern California",5225,706,1573,208,569,435,592,2055,296,681,390,294,182,152,419,687,1641,215,608,280,401,1869,304,632,358,338,149,87,504
"269","Southern Ill.",5700,694,1601,151,486,424,598,1963,304,636,320,337,193,100,527,703,1529,217,545,365,555,1988,288,692,349,390,138,94,532
"270","Southern Miss.",5275,555,1417,158,540,315,456,1583,214,670,305,358,119,58,434,646,1483,231,635,318,467,1841,233,725,387,312,162,101,454
"271","Southern U.",5225,657,1493,130,394,432,628,1876,319,676,302,365,144,100,511,669,1572,155,514,405,609,1900,340,619,296,324,153,112,492
"272","Southern Utah",5400,658,1625,223,655,529,720,2068,319,688,306,382,145,87,659,744,1566,223,594,554,782,2265,270,727,404,342,163,118,604
"273","St. Bonaventure",5050,665,1469,171,474,464,603,1965,295,610,336,311,179,113,517,614,1425,203,555,397,563,1828,281,571,353,366,135,87,513
"274","St. Francis Brooklyn",5850,609,1762,214,757,374,574,1806,373,637,274,346,195,84,635,741,1563,153,427,510,747,2145,324,896,349,407,155,101,547
"275","St. John's (NY)",5200,689,1574,234,618,395,542,2007,271,649,367,352,168,163,527,688,1551,185,515,405,580,1966,319,683,372,399,167,90,533
"276","St. Mary's (CA)",5200,677,1372,224,572,290,380,1868,260,664,433,274,106,82,381,559,1348,114,380,232,340,1464,178,487,234,244,140,59,420
"277","Stanford",4800,581,1342,112,354,375,545,1649,231,591,315,308,158,58,476,558,1292,189,508,359,510,1664,207,598,333,348,144,92,466
"278","Stetson",6026,841,1894,247,724,415,628,2344,260,811,411,344,143,68,571,903,1990,249,712,432,621,2487,369,911,457,351,157,114,576
"279","Stony Brook",5200,630,1531,207,619,372,514,1841,290,600,330,260,141,85,502,625,1387,189,497,385,554,1824,245,685,293,347,108,62,521
"280","Syracuse",5650,743,1631,247,652,398,557,2131,314,682,453,341,231,143,458,700,1654,240,706,328,502,1968,360,654,482,384,167,75,502
"281","TCU",5425,724,1557,193,559,371,537,2012,315,649,447,364,181,124,462,684,1543,181,508,316,453,1865,276,584,405,369,160,91,498
"282","Temple",5226,651,1535,232,651,312,435,1846,257,635,374,306,164,105,480,652,1516,180,529,364,491,1848,289,677,370,326,141,100,415
"283","Tennessee",5225,677,1551,153,457,477,662,1984,319,665,375,331,152,120,554,647,1514,177,506,440,638,1911,311,660,314,374,155,93,558
"284","Tennessee St.",5275,648,1466,153,441,415,613,1864,320,645,287,375,175,85,555,559,1354,210,613,440,647,1768,249,609,336,409,145,80,559
"285","Tennessee Tech",5850,712,1679,218,671,452,646,2094,324,714,415,397,197,115,612,708,1635,226,669,463,631,2107,309,749,427,438,168,98,586
"286","Texas",5401,673,1518,154,508,351,541,1851,266,674,314,369,154,119,485,670,1589,177,562,345,480,1862,298,663,311,345,182,89,509
"287","Texas A&M",5000,665,1447,157,474,311,476,1798,335,634,409,353,153,141,417,603,1466,203,554,312,426,1721,284,546,352,305,160,84,436
"288","Texas Southern",5225,630,1507,146,531,493,672,1899,320,582,295,302,170,75,452,701,1532,155,457,348,497,1907,308,651,356,348,134,99,555
"289","Texas St.",4850,579,1332,140,441,307,479,1605,245,590,341,274,165,104,437,512,1264,146,450,331,460,1501,240,597,253,347,131,94,451
"290","Texas Tech",5474,724,1498,186,486,402,550,2036,250,641,395,302,141,91,470,616,1434,218,611,355,506,1805,226,569,302,373,137,65,541
"291","The Citadel",5676,848,2056,344,1022,512,676,2552,401,658,478,407,262,67,646,959,1826,228,586,571,795,2717,331,899,521,499,210,108,602
"292","Toledo",5625,760,1552,219,581,447,640,2186,271,719,435,367,107,71,474,807,1719,160,492,326,476,2100,270,636,357,287,189,101,569
"293","Towson",5675,728,1640,127,417,491,715,2074,380,744,303,361,190,106,576,631,1517,207,601,462,682,1933,250,644,317,372,152,115,590
"294","Troy",5425,742,1611,244,661,449,622,2177,321,708,376,354,157,106,506,689,1601,223,642,392,543,1993,277,635,356,339,159,87,520
"295","Tulane",5225,632,1550,184,565,371,520,1819,289,584,336,354,159,100,545,710,1486,198,506,427,606,2045,287,703,364,371,167,89,473
"296","Tulsa",5025,552,1316,174,527,398,547,1676,238,646,285,378,114,66,459,610,1439,196,561,305,438,1721,255,592,299,321,173,103,506
"297","UAB",5650,713,1528,176,495,437,593,2039,270,742,429,391,133,137,458,716,1658,211,626,338,498,1981,289,623,356,330,188,89,513
"298","UC Davis",5425,657,1485,172,481,440,648,1926,258,679,366,392,154,75,546,661,1537,190,577,371,542,1883,267,646,371,387,191,85,585
"299","UC Irvine",5650,723,1609,201,569,327,475,1974,305,803,374,372,136,116,600,601,1557,173,538,456,639,1831,251,648,330,296,150,67,506
"300","UC Riverside",4800,565,1370,136,432,287,412,1553,232,603,266,344,159,68,476,577,1371,187,549,334,460,1675,240,621,340,323,140,72,433
"301","UC Santa Barbara",5025,557,1502,137,488,271,424,1522,331,583,299,308,133,54,465,639,1398,210,602,329,478,1817,251,699,414,300,135,78,406
"302","UCF",5425,621,1423,186,553,397,604,1825,305,838,306,409,98,104,425,587,1637,200,653,268,382,1642,264,607,351,259,188,70,548
"303","UCLA",5400,934,1751,278,661,346,468,2492,256,804,586,317,168,146,441,755,1812,232,637,303,453,2045,324,620,341,325,181,44,469
"304","UConn",5250,632,1440,180,499,314,456,1758,264,689,367,322,119,143,433,598,1517,200,612,304,441,1700,292,615,325,285,161,78,419
"305","UMBC",5501,774,1630,268,653,407,557,2223,251,690,411,316,181,69,508,734,1614,209,596,418,569,2095,275,695,374,351,142,69,501
"306","UMES",5427,689,1616,207,604,342,500,1927,287,616,364,354,162,67,542,702,1515,218,609,451,643,2073,315,718,405,396,158,96,492
"307","UMKC",5400,705,1608,245,657,431,599,2086,270,657,351,394,185,71,604,737,1622,202,600,465,677,2141,316,713,369,410,170,74,558
"308","UMass Lowell",6082,848,1763,253,642,413,558,2362,272,732,484,467,167,62,604,844,1824,245,671,506,687,2439,326,719,464,403,264,80,565
"309","UNC Asheville",5725,777,1633,231,568,400,584,2185,247,702,437,329,267,55,468,695,1553,207,594,315,481,1912,261,713,389,473,150,88,506
"310","UNCG",5399,730,1560,237,607,336,467,2033,304,647,404,382,202,98,503,637,1486,201,555,389,527,1864,280,573,340,392,185,72,466
"311","UNCW",5625,871,1815,274,758,366,541,2382,344,674,448,297,199,93,558,751,1584,148,439,434,606,2084,264,697,352,426,142,76,517
"312","UNI",5475,564,1399,208,626,353,479,1689,160,645,270,316,184,78,416,627,1480,205,578,270,360,1729,247,742,329,377,158,63,503
"313","UNLV",5450,642,1614,186,563,439,629,1909,328,705,355,347,166,74,460,750,1651,211,571,326,476,2037,269,751,374,320,168,126,567
"314","USC Upstate",6075,853,1871,269,774,378,583,2353,378,814,468,387,164,102,500,826,1911,238,725,393,537,2283,342,756,464,331,180,55,546
"315","UT Martin",5876,816,1732,239,679,390,564,2261,375,724,469,444,188,98,517,776,1749,268,759,381,533,2201,332,618,461,403,190,78,527
"316","UTEP",5300,661,1428,147,432,321,495,1790,198,705,375,351,143,81,514,601,1428,200,600,382,564,1784,230,671,348,334,141,55,488
"317","UTRGV",5700,765,1787,241,705,430,595,2201,341,708,430,454,222,75,675,771,1656,205,571,555,831,2302,327,772,464,453,208,75,537
"318","UTSA",5400,633,1624,136,505,367,559,1769,353,725,287,356,147,49,532,648,1496,202,584,384,573,1882,216,737,356,341,166,105,516
"319","Utah",5450,803,1585,178,507,357,528,2141,281,766,403,372,163,96,447,674,1608,187,539,310,465,1845,230,603,322,331,172,85,516
"320","Utah St.",5225,651,1437,188,518,363,523,1853,231,707,377,336,127,86,502,648,1535,191,580,362,524,1849,268,641,364,284,166,80,474
"321","Utah Valley",5225,686,1569,233,729,405,580,2010,223,766,420,384,162,102,511,695,1628,180,525,379,561,1949,265,750,378,375,174,75,542
"322","VCU",5476,737,1551,172,482,405,566,2051,283,693,428,363,213,111,561,621,1486,160,475,391,577,1793,274,619,284,407,160,96,527
"323","VMI",5200,640,1532,219,682,299,430,1798,258,595,321,349,161,103,521,712,1481,210,533,397,591,2031,276,697,389,338,187,63,430
"324","Valparaiso",5650,732,1640,181,559,493,628,2138,302,802,369,369,175,86,533,680,1686,203,634,369,540,1932,287,672,360,357,174,91,570
"325","Vanderbilt",5400,636,1454,269,703,398,516,1939,232,700,362,344,105,98,451,682,1573,187,535,339,487,1890,268,643,324,281,148,82,458
"326","Vermont",5597,753,1531,176,487,388,553,2070,271,699,377,332,155,120,466,661,1552,163,481,307,426,1792,260,599,294,365,160,72,537
"327","Villanova",5600,753,1512,253,670,419,520,2178,237,703,411,315,195,90,408,658,1588,195,640,252,350,1763,264,565,383,355,145,51,511
"328","Virginia",5275,666,1392,171,455,257,359,1760,220,637,379,256,146,112,423,503,1262,157,484,289,423,1452,196,552,254,336,135,67,390
"329","Virginia Tech",5050,678,1409,206,542,405,565,1967,193,652,378,308,106,74,414,682,1552,192,552,272,400,1828,268,617,344,311,128,105,482
"330","Wagner",5250,619,1444,151,456,363,530,1752,369,664,282,379,130,94,543,564,1408,169,511,381,555,1678,278,547,304,321,152,64,513
"331","Wake Forest",5200,732,1556,214,554,451,583,2129,277,681,418,320,139,102,523,691,1544,215,602,396,560,1993,258,620,369,311,165,99,538
"332","Washington",5226,745,1657,198,538,344,523,2032,338,639,347,344,165,155,526,752,1629,201,504,403,564,2108,301,633,388,321,169,95,488
"333","Washington St.",5225,659,1444,171,475,330,433,1819,156,668,364,327,110,76,424,740,1608,212,589,305,443,1997,269,684,374,268,144,72,441
"334","Weber St.",5050,684,1387,235,558,397,548,2002,177,635,339,288,136,84,438,683,1506,143,403,293,408,1802,261,614,312,318,116,52,513
"335","West Virginia",5525,815,1731,209,575,473,698,2312,396,618,461,337,301,121,560,603,1429,184,522,413,610,1803,308,623,330,589,149,89,598
"336","Western Caro.",5600,609,1595,157,526,301,461,1676,342,652,308,444,164,63,581,676,1502,214,595,485,699,2053,275,728,398,370,229,117,462
"337","Western Ill.",5074,625,1431,220,575,300,423,1770,169,685,323,328,122,113,484,641,1478,192,468,411,564,1885,219,702,332,261,159,61,433
"338","Western Ky.",5200,627,1427,177,493,367,546,1798,240,663,325,320,115,88,380,711,1557,218,591,257,364,1897,245,660,388,282,145,72,472
"339","Western Mich.",5001,681,1508,158,437,382,539,1902,300,575,323,319,149,67,485,686,1407,205,534,377,521,1954,216,609,369,343,158,77,505
"340","Wichita St.",5800,815,1714,250,626,484,665,2364,346,845,492,339,204,103,555,601,1605,196,629,405,584,1803,261,659,302,417,164,90,607
"341","William & Mary",5026,717,1462,232,599,361,524,2027,225,688,441,319,135,133,442,678,1546,212,622,338,487,1906,269,602,333,284,166,104,459
"342","Winthrop",5125,671,1480,221,617,394,547,1957,233,680,314,335,168,131,466,621,1506,165,528,367,506,1774,269,653,261,366,147,82,488
"343","Wisconsin",5475,714,1569,195,568,351,528,1974,344,694,376,304,189,102,427,589,1456,180,488,276,381,1634,224,588,270,358,147,85,501
"344","Wofford",5950,795,1707,273,672,428,546,2291,288,695,501,363,166,61,548,774,1651,190,556,456,622,2194,274,701,359,368,186,80,531
"345","Wright St.",5650,710,1592,243,643,488,646,2151,290,713,405,416,164,64,513,702,1601,209,617,406,570,2019,252,680,341,413,183,87,622
"346","Wyoming",5725,713,1697,260,788,493,672,2179,253,854,415,377,149,137,607,707,1771,193,610,515,713,2122,315,817,330,352,195,91,614
"347","Xavier",5025,647,1435,179,515,425,616,1898,312,657,380,317,162,70,490,620,1399,183,557,330,481,1753,207,570,355,322,154,95,545
"348","Yale",4625,606,1304,167,464,312,421,1691,239,604,365,315,120,105,369,581,1364,169,514,258,364,1589,231,520,303,274,155,83,392
"349","Youngstown St.",5951,839,1911,215,653,357,529,2250,301,752,438,340,165,89,481,887,1902,244,700,378,536,2398,333,848,478,378,166,97,518
"350","Fairleigh Dickinson",5425,683,1544,186,548,421,553,1973,252,633,337,354,168,72,575,694,1534,180,525,463,665,2031,307,689,391,365,164,67,503
"351","UT Arlington",5200,709,1540,211,650,385,569,2014,306,693,397,340,194,57,510,611,1483,210,687,359,551,1791,286,624,334,388,164,87,504
